"cell","celltype","group","site","aneuploid"
"Cell547","malignant","malignant_ascites","ascites",TRUE
"Cell548","malignant","malignant_omental","omental",TRUE
"Cell549","malignant","malignant_ascites","ascites",TRUE
"Cell550","malignant","malignant_ascites","ascites",TRUE
"Cell551","malignant","malignant_ascites","ascites",TRUE
"Cell552","malignant","malignant_omental","omental",TRUE
"Cell553","malignant","malignant_ascites","ascites",TRUE
"Cell554","malignant","malignant_omental","omental",TRUE
"Cell555","malignant","malignant_ascites","ascites",TRUE
"Cell556","malignant","malignant_omental","omental",TRUE
"Cell557","malignant","malignant_ascites","ascites",TRUE
"Cell558","malignant","malignant_ascites","ascites",TRUE
"Cell559","Tcell","Tcell","ascites",FALSE
"Cell560","Tcell","Tcell","ascites",FALSE
"Cell561","macrophage","macrophage","ascites",FALSE
"Cell562","macrophage","macrophage","omental",FALSE
"Cell563","endothelial","endothelial","omental",FALSE
"Cell564","fibroblast","fibroblast","omental",FALSE
"Cell565","malignant","malignant_omental","omental",TRUE
"Cell566","malignant","malignant_omental","omental",TRUE
"Cell567","malignant","malignant_ascites","ascites",TRUE
"Cell568","fibroblast","fibroblast","ascites",FALSE
"Cell569","endothelial","endothelial","omental",FALSE
"Cell570","malignant","malignant_ascites","ascites",TRUE
"Cell571","adipocyte","adipocyte","omental",FALSE
"Cell572","malignant","malignant_ascites","ascites",TRUE
"Cell573","adipocyte","adipocyte","omental",FALSE
"Cell574","malignant","malignant_ascites","ascites",TRUE
"Cell575","malignant","malignant_omental","omental",TRUE
"Cell576","malignant","malignant_omental","omental",TRUE
"Cell577","adipocyte","adipocyte","omental",FALSE
"Cell578","Tcell","Tcell","ascites",FALSE
"Cell579","malignant","malignant_ascites","ascites",TRUE
"Cell580","malignant","malignant_omental","omental",TRUE
"Cell581","malignant","malignant_omental","omental",TRUE
"Cell582","malignant","malignant_omental","omental",TRUE
"Cell583","malignant","malignant_ascites","ascites",TRUE
"Cell584","endothelial","endothelial","omental",FALSE
"Cell585","malignant","malignant_ascites","ascites",TRUE
"Cell586","adipocyte","adipocyte","omental",FALSE
"Cell587","malignant","malignant_omental","omental",TRUE
"Cell588","malignant","malignant_ascites","ascites",TRUE
"Cell589","malignant","malignant_omental","omental",TRUE
"Cell590","macrophage","macrophage","ascites",FALSE
"Cell591","malignant","malignant_ascites","ascites",TRUE
"Cell592","malignant","malignant_omental","omental",TRUE
"Cell593","malignant","malignant_ascites","ascites",TRUE
"Cell594","malignant","malignant_ascites","ascites",TRUE
"Cell595","fibroblast","fibroblast","omental",FALSE
"Cell596","adipocyte","adipocyte","omental",FALSE
"Cell597","malignant","malignant_ascites","ascites",TRUE
"Cell598","macrophage","macrophage","ascites",FALSE
"Cell599","malignant","malignant_ascites","ascites",TRUE
"Cell600","Tcell","Tcell","ascites",FALSE
"Cell601","macrophage","macrophage","omental",FALSE
"Cell602","malignant","malignant_ascites","ascites",TRUE
"Cell603","malignant","malignant_omental","omental",TRUE
"Cell604","malignant","malignant_ascites","ascites",TRUE
"Cell605","fibroblast","fibroblast","omental",FALSE
"Cell606","malignant","malignant_omental","omental",TRUE
"Cell607","fibroblast","fibroblast","ascites",FALSE
"Cell608","malignant","malignant_ascites","ascites",TRUE
"Cell609","Tcell","Tcell","ascites",FALSE
"Cell610","malignant","malignant_omental","omental",TRUE
"Cell611","malignant","malignant_ascites","ascites",TRUE
"Cell612","fibroblast","fibroblast","ascites",FALSE
"Cell613","malignant","malignant_omental","omental",TRUE
"Cell614","adipocyte","adipocyte","ascites",FALSE
"Cell615","malignant","malignant_omental","omental",TRUE
"Cell616","Tcell","Tcell","ascites",FALSE
"Cell617","malignant","malignant_omental","omental",TRUE
"Cell618","malignant","malignant_ascites","ascites",TRUE
"Cell619","malignant","malignant_omental","omental",TRUE
"Cell620","malignant","malignant_ascites","ascites",TRUE
"Cell621","fibroblast","fibroblast","omental",FALSE
"Cell622","macrophage","macrophage","omental",FALSE
"Cell623","endothelial","endothelial","omental",FALSE
"Cell624","macrophage","macrophage","ascites",FALSE
"Cell625","malignant","malignant_omental","omental",TRUE
"Cell626","endothelial","endothelial","omental",FALSE
"Cell627","fibroblast","fibroblast","omental",FALSE
"Cell628","adipocyte","adipocyte","omental",FALSE
"Cell629","fibroblast","fibroblast","omental",FALSE
"Cell630","malignant","malignant_ascites","ascites",TRUE
"Cell631","malignant","malignant_ascites","ascites",TRUE
"Cell632","malignant","malignant_ascites","ascites",TRUE
"Cell633","malignant","malignant_ascites","ascites",TRUE
"Cell634","malignant","malignant_omental","omental",TRUE
"Cell635","fibroblast","fibroblast","omental",FALSE
"Cell636","macrophage","macrophage","ascites",FALSE
"Cell637","malignant","malignant_omental","omental",TRUE
"Cell638","fibroblast","fibroblast","ascites",FALSE
"Cell639","endothelial","endothelial","ascites",FALSE
"Cell640","malignant","malignant_omental","omental",TRUE
"Cell641","malignant","malignant_ascites","ascites",TRUE
"Cell642","macrophage","macrophage","ascites",FALSE
"Cell643","Tcell","Tcell","ascites",FALSE
"Cell644","malignant","malignant_ascites","ascites",TRUE
"Cell645","endothelial","endothelial","omental",FALSE
"Cell646","Tcell","Tcell","omental",FALSE
"Cell647","malignant","malignant_omental","omental",TRUE
"Cell648","malignant","malignant_ascites","ascites",TRUE
"Cell649","macrophage","macrophage","ascites",FALSE
"Cell650","malignant","malignant_ascites","ascites",TRUE
"Cell651","Tcell","Tcell","omental",FALSE
"Cell652","endothelial","endothelial","omental",FALSE
"Cell653","macrophage","macrophage","ascites",FALSE
"Cell654","fibroblast","fibroblast","omental",FALSE
"Cell655","fibroblast","fibroblast","omental",FALSE
"Cell656","Tcell","Tcell","omental",FALSE
"Cell657","adipocyte","adipocyte","omental",FALSE
"Cell658","malignant","malignant_omental","omental",TRUE
"Cell659","malignant","malignant_ascites","ascites",TRUE
"Cell660","malignant","malignant_ascites","ascites",TRUE
"Cell661","malignant","malignant_omental","omental",TRUE
"Cell662","Tcell","Tcell","omental",FALSE
"Cell663","adipocyte","adipocyte","omental",FALSE
"Cell664","malignant","malignant_ascites","ascites",TRUE
"Cell665","macrophage","macrophage","omental",FALSE
"Cell666","fibroblast","fibroblast","omental",FALSE
"Cell667","malignant","malignant_ascites","ascites",TRUE
"Cell668","malignant","malignant_ascites","ascites",TRUE
"Cell669","Tcell","Tcell","ascites",FALSE
"Cell670","malignant","malignant_ascites","ascites",TRUE
"Cell671","malignant","malignant_ascites","ascites",TRUE
"Cell672","Tcell","Tcell","omental",FALSE
"Cell673","macrophage","macrophage","ascites",FALSE
"Cell674","malignant","malignant_ascites","ascites",TRUE
"Cell675","fibroblast","fibroblast","ascites",FALSE
"Cell676","malignant","malignant_ascites","ascites",TRUE
"Cell677","Tcell","Tcell","omental",FALSE
"Cell678","macrophage","macrophage","omental",FALSE
"Cell679","Tcell","Tcell","omental",FALSE
"Cell680","malignant","malignant_ascites","ascites",TRUE
"Cell681","malignant","malignant_ascites","ascites",TRUE
"Cell682","malignant","malignant_omental","omental",TRUE
"Cell683","malignant","malignant_ascites","ascites",TRUE
"Cell684","malignant","malignant_omental","omental",TRUE
"Cell685","Tcell","Tcell","omental",FALSE
"Cell686","malignant","malignant_omental","omental",TRUE
"Cell687","malignant","malignant_ascites","ascites",TRUE
"Cell688","fibroblast","fibroblast","omental",FALSE
"Cell689","Tcell","Tcell","ascites",FALSE
"Cell690","malignant","malignant_omental","omental",TRUE
"Cell691","macrophage","macrophage","ascites",FALSE
"Cell692","Tcell","Tcell","omental",FALSE
"Cell693","macrophage","macrophage","omental",FALSE
"Cell694","endothelial","endothelial","ascites",FALSE
"Cell695","Tcell","Tcell","ascites",FALSE
"Cell696","malignant","malignant_ascites","ascites",TRUE
"Cell697","malignant","malignant_omental","omental",TRUE
"Cell698","malignant","malignant_omental","omental",TRUE
"Cell699","malignant","malignant_ascites","ascites",TRUE
"Cell700","malignant","malignant_omental","omental",TRUE
"Cell701","malignant","malignant_ascites","ascites",TRUE
"Cell702","macrophage","macrophage","ascites",FALSE
"Cell703","malignant","malignant_omental","omental",TRUE
"Cell704","endothelial","endothelial","omental",FALSE
"Cell705","malignant","malignant_omental","omental",TRUE
"Cell706","malignant","malignant_omental","omental",TRUE
"Cell707","Tcell","Tcell","ascites",FALSE
"Cell708","malignant","malignant_omental","omental",TRUE
"Cell709","malignant","malignant_ascites","ascites",TRUE
"Cell710","malignant","malignant_omental","omental",TRUE
"Cell711","fibroblast","fibroblast","omental",FALSE
"Cell712","adipocyte","adipocyte","omental",FALSE
"Cell713","adipocyte","adipocyte","omental",FALSE
"Cell714","malignant","malignant_omental","omental",TRUE
"Cell715","malignant","malignant_omental","omental",TRUE
"Cell716","adipocyte","adipocyte","omental",FALSE
"Cell717","malignant","malignant_omental","omental",TRUE
"Cell718","malignant","malignant_omental","omental",TRUE
"Cell719","macrophage","macrophage","omental",FALSE
"Cell720","adipocyte","adipocyte","omental",FALSE
"Cell721","malignant","malignant_ascites","ascites",TRUE
"Cell722","malignant","malignant_ascites","ascites",TRUE
"Cell723","malignant","malignant_ascites","ascites",TRUE
"Cell724","malignant","malignant_ascites","ascites",TRUE
"Cell725","malignant","malignant_ascites","ascites",TRUE
"Cell726","adipocyte","adipocyte","omental",FALSE
"Cell727","fibroblast","fibroblast","omental",FALSE
"Cell728","endothelial","endothelial","omental",FALSE
"Cell729","malignant","malignant_omental","omental",TRUE
"Cell730","endothelial","endothelial","omental",FALSE
"Cell731","malignant","malignant_omental","omental",TRUE
"Cell732","Tcell","Tcell","ascites",FALSE
"Cell733","malignant","malignant_ascites","ascites",TRUE
"Cell734","malignant","malignant_omental","omental",TRUE
"Cell735","Tcell","Tcell","ascites",FALSE
"Cell736","malignant","malignant_omental","omental",TRUE
"Cell737","malignant","malignant_ascites","ascites",TRUE
"Cell738","adipocyte","adipocyte","omental",FALSE
"Cell739","Tcell","Tcell","ascites",FALSE
"Cell740","fibroblast","fibroblast","ascites",FALSE
"Cell741","malignant","malignant_omental","omental",TRUE
"Cell742","malignant","malignant_ascites","ascites",TRUE
"Cell743","endothelial","endothelial","omental",FALSE
"Cell744","fibroblast","fibroblast","ascites",FALSE
"Cell745","malignant","malignant_omental","omental",TRUE
"Cell746","adipocyte","adipocyte","omental",FALSE
"Cell747","adipocyte","adipocyte","omental",FALSE
"Cell748","fibroblast","fibroblast","ascites",FALSE
"Cell749","adipocyte","adipocyte","omental",FALSE
"Cell750","malignant","malignant_ascites","ascites",TRUE
"Cell751","Tcell","Tcell","omental",FALSE
"Cell752","malignant","malignant_ascites","ascites",TRUE
"Cell753","Tcell","Tcell","omental",FALSE
"Cell754","fibroblast","fibroblast","ascites",FALSE
"Cell755","endothelial","endothelial","omental",FALSE
"Cell756","fibroblast","fibroblast","omental",FALSE
"Cell757","malignant","malignant_ascites","ascites",TRUE
"Cell758","malignant","malignant_ascites","ascites",TRUE
"Cell759","malignant","malignant_omental","omental",TRUE
"Cell760","malignant","malignant_ascites","ascites",TRUE
"Cell761","macrophage","macrophage","ascites",FALSE
"Cell762","macrophage","macrophage","ascites",FALSE
"Cell763","Tcell","Tcell","ascites",FALSE
"Cell764","malignant","malignant_omental","omental",TRUE
"Cell765","endothelial","endothelial","omental",FALSE
"Cell766","malignant","malignant_ascites","ascites",TRUE
"Cell767","fibroblast","fibroblast","omental",FALSE
"Cell768","malignant","malignant_omental","omental",TRUE
"Cell769","malignant","malignant_omental","omental",TRUE
"Cell770","endothelial","endothelial","omental",FALSE
"Cell771","adipocyte","adipocyte","omental",FALSE
"Cell772","Tcell","Tcell","ascites",FALSE
"Cell773","malignant","malignant_ascites","ascites",TRUE
"Cell774","fibroblast","fibroblast","omental",FALSE
"Cell775","malignant","malignant_ascites","ascites",TRUE
"Cell776","malignant","malignant_omental","omental",TRUE
"Cell777","malignant","malignant_ascites","ascites",TRUE
"Cell778","malignant","malignant_omental","omental",TRUE
"Cell779","endothelial","endothelial","omental",FALSE
"Cell780","fibroblast","fibroblast","omental",FALSE
"Cell781","adipocyte","adipocyte","omental",FALSE
"Cell782","malignant","malignant_ascites","ascites",TRUE
"Cell783","malignant","malignant_omental","omental",TRUE
"Cell784","Tcell","Tcell","ascites",FALSE
"Cell785","fibroblast","fibroblast","omental",FALSE
"Cell786","macrophage","macrophage","omental",FALSE
"Cell787","malignant","malignant_omental","omental",TRUE
"Cell788","malignant","malignant_ascites","ascites",TRUE
"Cell789","Tcell","Tcell","omental",FALSE
"Cell790","fibroblast","fibroblast","omental",FALSE
"Cell791","malignant","malignant_ascites","ascites",TRUE
"Cell792","adipocyte","adipocyte","omental",FALSE
"Cell793","malignant","malignant_ascites","ascites",TRUE
"Cell794","adipocyte","adipocyte","omental",FALSE
"Cell795","fibroblast","fibroblast","ascites",FALSE
"Cell796","malignant","malignant_ascites","ascites",TRUE
"Cell797","malignant","malignant_ascites","ascites",TRUE
"Cell798","fibroblast","fibroblast","omental",FALSE
"Cell799","endothelial","endothelial","ascites",FALSE
"Cell800","malignant","malignant_ascites","ascites",TRUE
"Cell801","malignant","malignant_ascites","ascites",TRUE
"Cell802","malignant","malignant_omental","omental",TRUE
"Cell803","malignant","malignant_ascites","ascites",TRUE
"Cell804","endothelial","endothelial","ascites",FALSE
"Cell805","fibroblast","fibroblast","omental",FALSE
"Cell806","Tcell","Tcell","ascites",FALSE
"Cell807","fibroblast","fibroblast","ascites",FALSE
"Cell808","malignant","malignant_omental","omental",TRUE
"Cell809","macrophage","macrophage","ascites",FALSE
"Cell810","fibroblast","fibroblast","omental",FALSE
"Cell811","macrophage","macrophage","ascites",FALSE
"Cell812","malignant","malignant_omental","omental",TRUE
"Cell813","fibroblast","fibroblast","omental",FALSE
"Cell814","fibroblast","fibroblast","omental",FALSE
"Cell815","malignant","malignant_ascites","ascites",TRUE
"Cell816","endothelial","endothelial","omental",FALSE
"Cell817","fibroblast","fibroblast","omental",FALSE
"Cell818","Tcell","Tcell","omental",FALSE
"Cell819","fibroblast","fibroblast","ascites",FALSE
"Cell820","malignant","malignant_omental","omental",TRUE
"Cell821","fibroblast","fibroblast","omental",FALSE
"Cell822","fibroblast","fibroblast","omental",FALSE
"Cell823","fibroblast","fibroblast","omental",FALSE
"Cell824","Tcell","Tcell","ascites",FALSE
"Cell825","malignant","malignant_omental","omental",TRUE
"Cell826","Tcell","Tcell","omental",FALSE
"Cell827","fibroblast","fibroblast","ascites",FALSE
"Cell828","fibroblast","fibroblast","omental",FALSE
"Cell829","malignant","malignant_omental","omental",TRUE
"Cell830","fibroblast","fibroblast","omental",FALSE
"Cell831","malignant","malignant_ascites","ascites",TRUE
"Cell832","malignant","malignant_ascites","ascites",TRUE
"Cell833","macrophage","macrophage","omental",FALSE
"Cell834","fibroblast","fibroblast","ascites",FALSE
"Cell835","malignant","malignant_ascites","ascites",TRUE
"Cell836","fibroblast","fibroblast","omental",FALSE
"Cell837","malignant","malignant_omental","omental",TRUE
"Cell838","fibroblast","fibroblast","omental",FALSE
"Cell839","malignant","malignant_ascites","ascites",TRUE
"Cell840","malignant","malignant_omental","omental",TRUE
"Cell841","malignant","malignant_omental","omental",TRUE
"Cell842","malignant","malignant_omental","omental",TRUE
"Cell843","malignant","malignant_omental","omental",TRUE
"Cell844","malignant","malignant_omental","omental",TRUE
"Cell845","fibroblast","fibroblast","omental",FALSE
"Cell846","malignant","malignant_omental","omental",TRUE
"Cell847","malignant","malignant_omental","omental",TRUE
"Cell848","fibroblast","fibroblast","omental",FALSE
"Cell849","malignant","malignant_ascites","ascites",TRUE
"Cell850","malignant","malignant_ascites","ascites",TRUE
"Cell851","fibroblast","fibroblast","ascites",FALSE
